Ticker,Drawdown Start,Recovery Start,Recovery Days
AGI,2011-04-13,2011-08-08,117
AGI,2011-11-18,2011-12-21,33
AGI,2011-12-29,2011-12-30,1
AGI,2012-01-10,2012-01-30,20
AGI,2012-07-12,2012-09-24,74
AGI,2013-01-24,2013-09-09,228
AGI,2013-12-12,2016-03-23,832
AGI,2016-12-08,2017-03-06,88
AGI,2017-04-03,2017-04-11,8
AGI,2017-04-21,2017-08-30,131
AGI,2017-10-24,2019-03-22,514
AGI,2019-11-25,2020-02-20,87
AGI,2020-03-18,2020-04-27,40
AGI,2021-01-19,2021-06-10,142
AGI,2021-07-19,2022-04-04,259
AGI,2022-06-28,2022-11-15,140
AGI,2024-03-06,2024-03-22,16
ABR,2011-05-13,2012-02-27,290
ABR,2012-12-11,2013-01-04,24
ABR,2013-10-16,2014-02-11,118
ABR,2014-10-27,2014-12-30,64
ABR,2015-08-24,2015-12-10,108
ABR,2020-03-23,2020-09-10,171
ABR,2022-02-08,2023-02-01,358
ABR,2023-04-06,2023-06-30,85
ABR,2023-12-08,2023-12-13,5
ABR,2024-03-04,2024-06-12,100
ADV,2020-10-15,2020-12-31,77
ADV,2021-03-12,2021-04-20,39
ADV,2021-08-04,2023-07-26,721
AGY,2012-05-23,2012-11-28,189
AGY,2013-07-02,2014-11-20,506
AGY,2015-02-05,2015-03-02,25
AHN,2010-12-29,2011-01-19,21
AHN,2011-01-20,2011-03-22,61
AHN,2011-04-04,2011-12-08,248
AIA,2011-08-08,2012-02-27,203
AIA,2012-07-09,2012-09-10,63
AIA,2013-06-19,2013-10-04,107
AIA,2014-03-06,2014-05-13,68
AIA,2014-11-20,2015-02-24,96
AIA,2015-08-12,2016-05-03,265
AIA,2018-07-03,2019-03-15,255
AIA,2019-09-05,2019-11-08,64
AIA,2020-04-06,2020-07-01,86
AIA,2021-08-05,2023-01-23,536
AIA,2023-09-11,2024-03-21,192
ACP,2011-11-09,2012-02-28,111
ACP,2013-07-10,2014-01-02,176
ACP,2014-10-20,2015-05-26,218
ACP,2015-07-23,2016-05-26,308
ACP,2018-11-27,2019-05-03,157
ACP,2019-12-04,2020-02-05,63
ACP,2020-03-18,2020-08-06,141
ACP,2021-12-22,2023-02-07,412
ACP,2023-05-03,2023-06-16,44
ACP,2023-11-06,2023-12-29,53
AEE,2012-11-23,2013-02-26,95
AEE,2015-05-27,2015-10-07,133
AEE,2016-12-01,2016-12-19,18
AEE,2018-02-14,2018-06-28,134
AEE,2020-04-30,2020-08-10,102
AEE,2021-02-03,2021-04-22,78
AEE,2022-10-20,2023-02-01,104
AEE,2023-02-27,2023-05-08,70
ABW,2011-02-24,2011-07-18,144
ABW,2011-12-21,2012-09-04,258
ABW,2014-03-14,2014-05-06,53
ABW,2016-04-07,2016-06-06,60
AGD,2010-10-18,2011-01-11,85
AGD,2011-08-09,2012-03-15,219
AGD,2012-06-22,2012-08-16,55
AGD,2012-12-26,2013-10-04,282
AGD,2014-11-11,2014-12-31,50
AGD,2015-08-26,2016-05-11,259
AGD,2018-08-07,2019-03-22,227
AGD,2020-03-25,2020-07-30,127
AGD,2022-02-24,2023-01-12,322
AGD,2023-10-05,2024-01-02,89
AAP,2011-06-22,2011-11-08,139
AAP,2012-07-10,2013-01-10,184
AAP,2013-01-23,2013-01-24,1
AAP,2013-02-06,2013-02-07,1
AAP,2016-01-07,2016-08-02,208
AAP,2016-10-17,2016-12-21,65
AAP,2017-03-29,2018-02-08,316
AAP,2019-06-12,2019-11-07,148
AAP,2020-01-21,2020-07-21,182
AAP,2022-03-30,2024-03-06,707
AHF,2010-12-07,2012-03-08,457
AHF,2012-08-24,2013-09-18,390
AHF,2014-01-09,2014-05-06,117
AHF,2014-10-16,2015-09-30,349
AHF,2015-12-30,2016-07-12,195
AEF,2011-08-17,2012-03-06,202
AEF,2012-06-14,2013-01-14,214
AEF,2013-06-12,2016-04-13,1036
AEF,2018-07-03,2019-02-22,234
AEF,2019-09-26,2019-12-16,81
AEF,2020-03-20,2020-08-26,159
AEF,2021-10-14,2023-01-24,467
AEF,2023-10-02,2024-01-19,109
AFG,2011-09-06,2011-12-01,86
AFG,2012-09-13,2012-10-16,33
AFG,2016-03-10,2016-05-02,53
AFG,2018-10-24,2019-06-04,223
AFG,2020-03-18,2020-11-11,238
AFG,2022-09-26,2022-11-14,49
AFG,2023-03-31,2024-01-04,279
AGM,2010-10-18,2010-12-17,60
AGM,2011-11-11,2012-02-23,104
AGM,2013-06-18,2013-09-09,83
AGM,2014-02-18,2014-04-25,66
AGM,2014-06-18,2014-10-06,110
AGM,2014-11-28,2015-04-08,131
AGM,2015-07-27,2015-12-03,129
AGM,2018-09-25,2019-04-05,192
AGM,2020-03-06,2020-10-02,210
AGM,2022-05-04,2022-11-11,191
AEV,2011-10-04,2011-12-15,72
AEV,2012-10-11,2012-11-01,21
AEV,2012-11-26,2012-12-07,11
AEV,2012-12-24,2012-12-31,7
AEV,2013-07-08,2013-12-20,165
AEV,2014-07-15,2015-07-31,381
AEV,2015-08-26,2015-08-31,5
AEV,2015-09-01,2015-09-02,1
AEV,2015-09-25,2015-10-12,17
AEV,2015-10-13,2015-11-09,27
AEV,2015-11-10,2015-11-11,1
AEV,2015-11-12,2015-11-16,4
AEV,2016-01-14,2016-01-27,13
AEV,2016-02-22,2016-02-29,7
AEV,2017-01-05,2017-05-09,124
AEV,2017-09-11,2018-02-22,164
AEV,2018-04-05,2019-01-29,299
AAA,2022-04-11,2022-12-14,247
AIQ,2019-03-04,2019-03-19,15
AIQ,2020-04-17,2020-05-29,42
AIQ,2022-02-03,2023-02-03,365
AIR,2010-10-18,2010-11-16,29
AIR,2011-09-06,2012-03-20,196
AIR,2012-04-02,2012-12-05,247
AIR,2014-05-05,2014-09-16,134
AIR,2014-10-07,2014-12-29,83
AIR,2015-08-24,2016-05-10,260
AIR,2018-12-11,2019-08-08,240
AIR,2020-03-16,2020-11-27,256
AIR,2021-08-18,2022-01-10,145
AIR,2022-09-21,2022-12-27,97
AIV,2011-10-03,2012-03-12,161
AIV,2012-11-16,2013-01-29,74
AIV,2013-09-23,2014-03-07,165
AIV,2015-09-25,2015-11-18,54
AIV,2018-01-17,2018-07-19,183
AIV,2020-03-18,2020-12-04,261
AIV,2022-02-23,2022-08-16,174
AIV,2023-02-27,2023-05-30,92
AIV,2023-09-28,2024-02-16,141
AIZ,2011-05-27,2011-11-16,173
AIZ,2012-06-01,2012-11-02,154
AIZ,2012-12-26,2013-02-05,41
AIZ,2014-09-04,2014-11-26,83
AIZ,2015-02-23,2015-06-22,119
AIZ,2016-03-09,2016-05-03,55
AIZ,2017-10-05,2017-12-12,68
AIZ,2018-01-22,2018-06-22,151
AIZ,2018-12-19,2019-06-14,177
AIZ,2020-03-30,2020-09-16,170
AIZ,2022-01-05,2022-03-11,65
AIZ,2022-09-02,2023-07-14,315
AJJ,2016-06-23,2017-08-23,426
AJM,2010-12-16,2010-12-17,1
AJM,2011-07-19,2011-11-29,133
AJM,2013-07-23,2013-10-10,79
AJM,2014-04-24,2014-12-12,232
AJM,2016-02-25,2016-09-09,197
AJX,2015-11-27,2016-05-10,165
AJX,2017-02-08,2017-05-05,86
AJX,2018-02-16,2018-07-26,160
AJX,2019-01-09,2019-01-10,1
AJX,2019-01-14,2019-03-08,53
AJX,2020-03-18,2020-12-01,258
AJX,2022-02-07,2023-09-05,575
AJY,2014-09-04,2015-08-27,357
AJY,2016-11-30,2017-07-05,217
AKM,2012-05-16,2012-07-12,57
AKM,2012-12-26,2013-01-30,35
AKM,2013-04-09,2013-05-31,52
AKM,2014-06-19,2015-09-22,460
AKN,2011-05-06,2011-07-05,60
AKN,2011-09-01,2012-03-02,183
AKN,2012-09-21,2013-02-26,158
AKN,2014-01-09,2014-07-22,194
AKN,2016-05-12,2016-06-02,21
AKN,2016-06-03,2016-08-22,80
ALC,2020-01-23,2020-02-20,28
ALC,2020-03-23,2020-06-23,92
ALC,2022-03-11,2023-01-23,318
ALC,2023-11-10,2024-03-06,117
ALF,2016-07-25,2016-11-04,102
ALF,2018-04-24,2021-02-12,1025
ALF,2021-06-09,2021-11-05,149
ALF,2022-03-22,2023-07-10,475
ALG,2011-06-20,2011-12-09,172
ALG,2014-07-11,2015-02-05,209
ALG,2015-08-26,2016-01-11,138
ALG,2018-05-25,2019-03-18,297
ALG,2020-03-31,2020-09-16,169
ALG,2021-08-12,2022-01-11,152
ALG,2022-01-21,2022-10-14,266
ALG,2023-10-12,2023-12-14,63
ALI,2011-02-17,2011-06-07,110
ALI,2011-06-14,2011-08-15,62
ALI,2011-10-05,2011-12-09,65
ALI,2012-01-04,2012-01-12,8
ALI,2012-04-30,2012-06-29,60
ALI,2012-07-03,2012-11-08,128
ALI,2012-11-30,2012-12-07,7
ALI,2013-09-24,2014-04-11,199
ALI,2014-06-10,2015-06-12,367
ALI,2015-06-15,2015-06-16,1
ALI,2015-06-17,2015-09-25,100
ALI,2016-02-08,2016-02-09,1
ALI,2016-02-10,2016-02-12,2
ALI,2016-02-17,2016-02-19,2
ALI,2016-02-22,2016-07-21,150
ALI,2016-11-18,2016-11-29,11
ALI,2016-12-16,2017-01-09,24
ALI,2017-01-11,2017-01-13,2
ALI,2017-02-23,2017-02-27,4
ALI,2017-03-01,2017-03-02,1
ALI,2017-03-29,2017-03-30,1
ALI,2017-04-03,2017-06-07,65
ALI,2017-06-16,2017-06-19,3
ALI,2017-06-20,2017-06-21,1
ALI,2017-10-10,2018-01-25,107
ALI,2018-10-18,2019-01-07,81
ALK,2011-09-01,2011-11-18,78
ALK,2012-06-15,2012-07-17,32
ALK,2012-07-24,2012-07-30,6
ALK,2012-08-31,2012-10-25,55
ALK,2016-02-23,2016-04-15,52
